total_rooms,total_bedrooms,population,households
880.0,129.0,322.0,126.0
7099.0,1106.0,2401.0,1138.0
1467.0,190.0,496.0,177.0
1274.0,235.0,558.0,219.0
1627.0,280.0,565.0,259.0
919.0,213.0,413.0,193.0
2535.0,489.0,1094.0,514.0
3104.0,687.0,1157.0,647.0
2555.0,665.0,1206.0,595.0
3549.0,707.0,1551.0,714.0
2202.0,434.0,910.0,402.0
3503.0,752.0,1504.0,734.0
2491.0,474.0,1098.0,468.0
696.0,191.0,345.0,174.0
2643.0,626.0,1212.0,620.0
1120.0,283.0,697.0,264.0
1966.0,347.0,793.0,331.0
1228.0,293.0,648.0,303.0
2239.0,455.0,990.0,419.0
1503.0,298.0,690.0,275.0
751.0,184.0,409.0,166.0
1639.0,367.0,929.0,366.0
2436.0,541.0,1015.0,478.0
1688.0,337.0,853.0,325.0
2224.0,437.0,1006.0,422.0
535.0,123.0,317.0,119.0
1130.0,244.0,607.0,239.0
1898.0,421.0,1102.0,397.0
2082.0,492.0,1131.0,473.0
729.0,160.0,395.0,155.0
1916.0,447.0,863.0,378.0
2153.0,481.0,1168.0,441.0
1922.0,409.0,1026.0,335.0
1655.0,366.0,754.0,329.0
2665.0,574.0,1258.0,536.0
1215.0,282.0,570.0,264.0
1798.0,432.0,987.0,374.0
1511.0,390.0,901.0,403.0
1470.0,330.0,689.0,309.0
2432.0,715.0,1377.0,696.0
1665.0,419.0,946.0,395.0
936.0,311.0,517.0,249.0
713.0,202.0,462.0,189.0
950.0,202.0,467.0,198.0
1443.0,311.0,660.0,292.0
1656.0,420.0,718.0,382.0
1125.0,322.0,616.0,304.0
1007.0,312.0,558.0,253.0
624.0,195.0,423.0,160.0
946.0,375.0,700.0,352.0
896.0,453.0,735.0,438.0
1868.0,456.0,1061.0,407.0
3221.0,853.0,1959.0,720.0
1630.0,456.0,1162.0,400.0
1170.0,235.0,701.0,233.0
945.0,243.0,576.0,220.0
1238.0,288.0,622.0,259.0
1489.0,335.0,728.0,244.0
1387.0,341.0,1074.0,304.0
158.0,43.0,94.0,57.0
1121.0,211.0,554.0,187.0
135.0,29.0,86.0,23.0
760.0,190.0,377.0,122.0
1224.0,237.0,521.0,159.0
828.0,182.0,392.0,133.0
1010.0,209.0,604.0,187.0
1455.0,354.0,788.0,332.0
1027.0,244.0,492.0,147.0
572.0,109.0,274.0,82.0
2801.0,644.0,1823.0,611.0
768.0,152.0,392.0,127.0
935.0,297.0,582.0,277.0
844.0,204.0,560.0,152.0
12.0,4.0,18.0,7.0
835.0,161.0,290.0,133.0
1237.0,462.0,762.0,439.0
2914.0,562.0,1236.0,509.0
1207.0,243.0,721.0,207.0
1745.0,374.0,1054.0,325.0
684.0,176.0,344.0,155.0
924.0,289.0,609.0,289.0
210.0,56.0,183.0,56.0
340.0,97.0,200.0,87.0
386.0,164.0,346.0,155.0
948.0,184.0,467.0,169.0
773.0,143.0,377.0,115.0
880.0,451.0,582.0,380.0
875.0,348.0,546.0,330.0
105.0,42.0,125.0,39.0
249.0,78.0,396.0,85.0
994.0,392.0,800.0,362.0
215.0,87.0,904.0,88.0
96.0,31.0,191.0,34.0
1055.0,347.0,718.0,302.0
1715.0,623.0,1327.0,467.0
5329.0,2477.0,3469.0,2323.0
4596.0,1331.0,2048.0,1180.0
335.0,107.0,202.0,91.0
3682.0,1270.0,2024.0,1250.0
3633.0,1085.0,1838.0,980.0
4656.0,1414.0,2304.0,1250.0
5806.0,1603.0,2563.0,1497.0
854.0,242.0,389.0,228.0
2155.0,701.0,895.0,613.0
5871.0,1914.0,2689.0,1789.0
1509.0,225.0,674.0,244.0
2026.0,482.0,709.0,456.0
1758.0,460.0,686.0,422.0
3481.0,751.0,1444.0,718.0
3337.0,855.0,1520.0,802.0
1424.0,289.0,550.0,253.0
3809.0,1098.0,1806.0,1022.0
3959.0,1196.0,1749.0,1217.0
2376.0,559.0,939.0,519.0
1613.0,428.0,675.0,422.0
1279.0,287.0,534.0,291.0
5022.0,1750.0,2558.0,1661.0
4190.0,1105.0,1786.0,1037.0
2515.0,399.0,970.0,373.0
3175.0,454.0,1098.0,485.0
2576.0,406.0,794.0,376.0
334.0,54.0,98.0,47.0
2800.0,411.0,1061.0,403.0
3529.0,574.0,1177.0,555.0
2612.0,365.0,901.0,367.0
5287.0,1048.0,2031.0,956.0
2935.0,473.0,1031.0,479.0
3424.0,597.0,1358.0,597.0
4991.0,674.0,1616.0,654.0
2211.0,346.0,844.0,343.0
3038.0,490.0,1140.0,496.0
1617.0,210.0,533.0,194.0
2865.0,460.0,1072.0,443.0
5065.0,788.0,1627.0,766.0
1326.0,184.0,463.0,190.0
1589.0,223.0,542.0,211.0
1791.0,271.0,661.0,269.0
1835.0,264.0,635.0,263.0
1229.0,181.0,420.0,176.0
3770.0,534.0,1265.0,500.0
292.0,38.0,126.0,52.0
2375.0,333.0,813.0,350.0
2964.0,436.0,1067.0,426.0
2833.0,605.0,1260.0,552.0
2254.0,535.0,951.0,487.0
1389.0,212.0,510.0,224.0
1971.0,335.0,765.0,308.0
2183.0,465.0,1129.0,460.0
2286.0,464.0,1073.0,441.0
2721.0,541.0,1185.0,515.0
2024.0,339.0,756.0,340.0
2944.0,536.0,1034.0,521.0
2033.0,486.0,787.0,459.0
1433.0,229.0,612.0,213.0
2927.0,402.0,1021.0,380.0
2315.0,292.0,861.0,258.0
2485.0,313.0,953.0,327.0
1490.0,238.0,634.0,256.0
2814.0,365.0,878.0,352.0
2093.0,550.0,918.0,483.0
888.0,168.0,360.0,175.0
2087.0,510.0,1197.0,488.0
2513.0,502.0,1048.0,518.0
3232.0,835.0,1373.0,747.0
4120.0,1065.0,1715.0,1015.0
2364.0,792.0,1359.0,722.0
1471.0,469.0,1062.0,413.0
2468.0,864.0,1335.0,773.0
1632.0,492.0,1171.0,429.0
1786.0,526.0,1475.0,460.0
629.0,188.0,742.0,196.0
1339.0,391.0,1086.0,363.0
1678.0,606.0,1645.0,543.0
2344.0,647.0,1710.0,644.0
996.0,228.0,731.0,228.0
1591.0,373.0,1118.0,347.0
1586.0,398.0,1006.0,335.0
2046.0,588.0,1213.0,554.0
1192.0,289.0,772.0,257.0
1803.0,420.0,1321.0,401.0
2838.0,749.0,1487.0,677.0
783.0,184.0,488.0,186.0
1590.0,414.0,949.0,392.0
1746.0,480.0,1149.0,415.0
1252.0,299.0,844.0,280.0
5963.0,1344.0,4367.0,1231.0
1783.0,395.0,1659.0,412.0
999.0,264.0,1011.0,263.0
1469.0,431.0,1464.0,389.0
1372.0,395.0,1237.0,303.0
674.0,180.0,647.0,168.0
1626.0,376.0,1284.0,357.0
175.0,43.0,228.0,55.0
461.0,129.0,381.0,123.0
902.0,237.0,846.0,227.0
2373.0,779.0,1659.0,676.0
391.0,128.0,520.0,138.0
1137.0,301.0,866.0,259.0
769.0,206.0,612.0,183.0
472.0,146.0,415.0,126.0
862.0,215.0,994.0,213.0
1920.0,530.0,1525.0,477.0
1420.0,472.0,1506.0,438.0
986.0,258.0,1008.0,255.0
2340.0,825.0,2813.0,751.0
1696.0,396.0,1481.0,343.0
1175.0,217.0,859.0,219.0
2343.0,574.0,1608.0,523.0
610.0,145.0,425.0,140.0
930.0,199.0,564.0,184.0
1487.0,314.0,961.0,272.0
3424.0,690.0,2273.0,685.0
762.0,190.0,600.0,195.0
2366.0,575.0,1647.0,527.0
1826.0,450.0,1201.0,424.0
3049.0,711.0,2167.0,659.0
1640.0,376.0,939.0,340.0
1543.0,307.0,859.0,292.0
2364.0,557.0,1517.0,516.0
1745.0,409.0,1143.0,386.0
2003.0,500.0,1109.0,464.0
2018.0,447.0,1221.0,446.0
3045.0,499.0,1115.0,455.0
1547.0,293.0,706.0,268.0
3519.0,711.0,1883.0,706.0
2070.0,354.0,804.0,340.0
1321.0,263.0,506.0,252.0
1694.0,259.0,610.0,238.0
1938.0,341.0,768.0,332.0
968.0,195.0,462.0,184.0
1060.0,256.0,667.0,235.0
2041.0,405.0,1059.0,399.0
1813.0,271.0,637.0,277.0
2718.0,451.0,1106.0,454.0
3144.0,761.0,1737.0,669.0
1802.0,459.0,1009.0,390.0
882.0,195.0,737.0,210.0
1621.0,452.0,1354.0,491.0
2115.0,533.0,1530.0,474.0
2021.0,528.0,1410.0,480.0
2239.0,508.0,1390.0,569.0
1477.0,300.0,1065.0,269.0
1056.0,224.0,792.0,245.0
898.0,244.0,779.0,245.0
2968.0,710.0,2269.0,610.0
1702.0,460.0,1227.0,407.0
881.0,248.0,753.0,241.0
494.0,114.0,547.0,135.0
1776.0,473.0,1807.0,440.0
1678.0,514.0,1700.0,495.0
1637.0,463.0,1543.0,393.0
1420.0,314.0,1085.0,300.0
591.0,173.0,353.0,137.0
745.0,153.0,473.0,149.0
2272.0,498.0,1621.0,483.0
1234.0,375.0,1183.0,354.0
1017.0,328.0,836.0,277.0
932.0,254.0,900.0,263.0
2689.0,597.0,1888.0,537.0
1547.0,415.0,1024.0,341.0
2300.0,443.0,1225.0,423.0
1752.0,399.0,1071.0,376.0
1867.0,403.0,1128.0,378.0
2430.0,502.0,1537.0,484.0
1729.0,414.0,1240.0,393.0
1026.0,180.0,469.0,168.0
2170.0,428.0,1086.0,425.0
2329.0,445.0,1144.0,417.0
2492.0,415.0,1109.0,375.0
2198.0,397.0,984.0,369.0
142.0,31.0,575.0,47.0
1183.0,205.0,496.0,209.0
1070.0,193.0,555.0,190.0
1766.0,332.0,869.0,327.0
617.0,95.0,236.0,106.0
1411.0,233.0,626.0,214.0
2109.0,387.0,922.0,329.0
1229.0,243.0,582.0,256.0
954.0,217.0,546.0,201.0
1643.0,262.0,620.0,266.0
1355.0,195.0,442.0,195.0
2317.0,336.0,955.0,328.0
2459.0,317.0,916.0,324.0
12842.0,2048.0,4985.0,1967.0
1524.0,260.0,651.0,267.0
3326.0,746.0,1704.0,703.0
1985.0,440.0,1085.0,407.0
1642.0,322.0,713.0,284.0
893.0,177.0,468.0,181.0
653.0,128.0,296.0,121.0
1256.0,,570.0,218.0
977.0,194.0,446.0,180.0
2324.0,397.0,968.0,384.0
1583.0,349.0,857.0,316.0
1612.0,342.0,912.0,322.0
2424.0,533.0,1360.0,452.0
1594.0,367.0,1074.0,355.0
2118.0,413.0,965.0,382.0
1575.0,358.0,933.0,320.0
1764.0,397.0,987.0,354.0
1187.0,261.0,907.0,246.0
754.0,175.0,447.0,165.0
2308.0,452.0,1299.0,451.0
909.0,236.0,396.0,157.0
1180.0,257.0,877.0,268.0
2018.0,408.0,1111.0,367.0
1368.0,282.0,790.0,269.0
2744.0,547.0,1479.0,554.0
2107.0,471.0,1173.0,438.0
1748.0,362.0,1029.0,366.0
2024.0,391.0,1030.0,350.0
1116.0,259.0,826.0,279.0
2036.0,510.0,1412.0,454.0
1852.0,393.0,1132.0,349.0
921.0,207.0,522.0,159.0
995.0,238.0,630.0,237.0
606.0,132.0,531.0,133.0
2680.0,736.0,1925.0,667.0
1493.0,370.0,1144.0,351.0
2207.0,565.0,1481.0,520.0
856.0,189.0,435.0,162.0
1293.0,297.0,984.0,303.0
847.0,212.0,567.0,159.0
541.0,154.0,380.0,123.0
1066.0,253.0,825.0,244.0
707.0,147.0,417.0,155.0
1528.0,291.0,801.0,287.0
909.0,215.0,646.0,198.0
1391.0,293.0,855.0,285.0
548.0,119.0,435.0,136.0
4074.0,874.0,2736.0,780.0
1613.0,445.0,1481.0,414.0
463.0,134.0,327.0,137.0
818.0,193.0,494.0,179.0
1473.0,371.0,1231.0,341.0
504.0,126.0,323.0,109.0
1026.0,226.0,749.0,225.0
769.0,183.0,693.0,178.0
2103.0,391.0,1339.0,354.0
330.0,76.0,282.0,80.0
941.0,218.0,621.0,195.0
992.0,,732.0,259.0
990.0,261.0,901.0,260.0
1126.0,263.0,482.0,150.0
1036.0,233.0,652.0,213.0
1047.0,214.0,651.0,166.0
1280.0,307.0,999.0,286.0
1587.0,320.0,907.0,306.0
1257.0,271.0,828.0,230.0
1218.0,248.0,763.0,254.0
1751.0,390.0,935.0,349.0
2299.0,514.0,1437.0,484.0
2457.0,624.0,1516.0,482.0
998.0,211.0,597.0,185.0
1685.0,343.0,949.0,342.0
1827.0,307.0,881.0,302.0
2781.0,574.0,1438.0,519.0
1823.0,286.0,763.0,270.0
2229.0,365.0,1297.0,355.0
1513.0,231.0,545.0,211.0
3266.0,491.0,1222.0,533.0
1809.0,261.0,808.0,219.0
794.0,111.0,329.0,109.0
690.0,105.0,299.0,109.0
1334.0,200.0,579.0,202.0
414.0,54.0,137.0,50.0
768.0,93.0,229.0,93.0
4400.0,666.0,1476.0,648.0
954.0,161.0,429.0,154.0
1445.0,256.0,849.0,255.0
1938.0,399.0,946.0,331.0
856.0,178.0,571.0,191.0
1790.0,454.0,1137.0,386.0
617.0,131.0,378.0,135.0
1383.0,275.0,853.0,272.0
1325.0,277.0,764.0,282.0
1227.0,294.0,928.0,261.0
667.0,140.0,406.0,133.0
1223.0,281.0,824.0,280.0
1379.0,287.0,835.0,259.0
1534.0,300.0,826.0,295.0
1029.0,181.0,567.0,211.0
771.0,147.0,355.0,144.0
824.0,223.0,533.0,166.0
1097.0,239.0,609.0,215.0
1283.0,238.0,576.0,236.0
1604.0,263.0,594.0,286.0
2248.0,422.0,870.0,377.0
2263.0,522.0,1027.0,509.0
1571.0,349.0,693.0,326.0
1520.0,402.0,815.0,375.0
5083.0,1212.0,2420.0,1146.0
1077.0,293.0,518.0,276.0
1248.0,283.0,620.0,275.0
1342.0,291.0,551.0,266.0
3061.0,930.0,2556.0,924.0
3171.0,698.0,1498.0,696.0
1211.0,261.0,523.0,227.0
979.0,175.0,374.0,153.0
2269.0,380.0,1004.0,371.0
1844.0,332.0,769.0,334.0
2178.0,421.0,940.0,423.0
1650.0,274.0,645.0,256.0
1927.0,279.0,705.0,288.0
2079.0,273.0,684.0,275.0
1803.0,240.0,572.0,236.0
2041.0,270.0,671.0,253.0
3046.0,373.0,975.0,365.0
2318.0,328.0,779.0,312.0
2003.0,250.0,658.0,244.0
2261.0,328.0,819.0,335.0
1225.0,169.0,412.0,168.0
2315.0,408.0,835.0,369.0
2070.0,329.0,722.0,306.0
2616.0,473.0,1085.0,487.0
2640.0,366.0,973.0,355.0
1978.0,293.0,723.0,272.0
2220.0,335.0,903.0,362.0
1125.0,195.0,356.0,181.0
3078.0,494.0,1005.0,462.0
3706.0,531.0,1205.0,504.0
3000.0,457.0,987.0,450.0
2863.0,460.0,1031.0,448.0
2551.0,417.0,894.0,404.0
2255.0,410.0,823.0,377.0
